zip_ref;municipio;CCAA;provincia;lat;lon
01001;Vitoria-Gasteiz;País Vasco;Álava;42.84912084853382;-2.6723932696994486
01002;Vitoria-Gasteiz;País Vasco;Álava;42.853360599052664;-2.6565823327196885
01003;Vitoria-Gasteiz;País Vasco;Álava;42.84585489396309;-2.6545554881991116
01004;Vitoria-Gasteiz;País Vasco;Álava;42.84412932701373;-2.666575708452922
01005;Vitoria-Gasteiz;País Vasco;Álava;42.84328109510017;-2.671967122902181
01006;Vitoria-Gasteiz;País Vasco;Álava;42.83509060499877;-2.6591733002179514
01007;Vitoria-Gasteiz;País Vasco;Álava;42.83130197490369;-2.6976710851567964
01008;Vitoria-Gasteiz;País Vasco;Álava;42.84723202819334;-2.68484802245055
01009;Vitoria-Gasteiz;País Vasco;Álava;42.85441570599361;-2.6856326600983778
01010;Vitoria-Gasteiz;País Vasco;Álava;42.860569194279904;-2.6999948442424575
01012;Vitoria-Gasteiz;País Vasco;Álava;42.85596132094977;-2.677127324344894
01013;Vitoria-Gasteiz;País Vasco;Álava;42.8716064404141;-2.6632516961673556
01015;Vitoria-Gasteiz;País Vasco;Álava;42.84149606700001;-2.7259728728856674
01100;Vitoria-Gasteiz;País Vasco;Álava;42.8882064252765;-2.665282333041711
01110;Kanpezu;País Vasco;Álava;42.66272145213521;-2.3409993962911693
01117;Kanpezu;País Vasco;Álava;42.76774368001675;-2.320048336610091
01118;Bernedo;País Vasco;Álava;42.63995328111406;-2.545450223392746
01120;Arraia-Maeztu;País Vasco;Álava;42.73672233740997;-2.4438633819798694
01128;Bernedo;País Vasco;Álava;42.70643907299911;-2.4600069785791536
01129;Arraia-Maeztu;País Vasco;Álava;42.75506195943857;-2.4276351952772277
01130;Zuia;País Vasco;Álava;42.957398862372486;-2.8128922412549393
01138;Zigoitia;País Vasco;Álava;42.97358273006223;-2.73327021837413
01139;Zuia;País Vasco;Álava;42.977536787057254;-2.8286799425285047
01160;Aramaio;País Vasco;Álava;43.064513424158996;-2.5594687925634005
01165;Aramaio;País Vasco;Álava;43.04194634535097;-2.6232648081313834
01169;Aramaio;País Vasco;Álava;43.043639559629234;-2.5769389077771576
